Contig,Start,End,Strand
HCP21_10038,2,439,+
HCP21_2715,3,266,+
HCP21_629_,8,376,-
HCP21_10181,12,530,-
HCP21_3841,2,64,-
HCP21_3841,435,596,-
HCP21_3841,640,741,-
HCP21_3272,3,413,-
HCP21_6145,30,479,+
HCP21_5104,1,459,-
HCP21_7844,2,841,-
HCP21_6208,84,437,-
HCP21_2591,3,437,+
HCP21_1134,8,211,-
HCP21_2071,3,140,-
HCP21_2071,170,376,-
HCP21_9853,71,700,+
HCP21_6764,3,362,+
HCP21_2272,3,149,-
HCP21_2272,218,286,-
HCP21_47__,213,1046,+
HCP21_47__,1111,1368,+
HCP21_47__,1368,4832,+
HCP21_47__,4872,6008,+
HCP21_47__,6258,6659,+
HCP21_1_1_newblercontig08521,7,225,+
HCP21_2_6063,34,126,+
HCP21_2_6563,3,131,-
HCP21_2_8063,6,140,-
HCP21_2_23396,9,152,-
HCP21_2_30621,17,112,+
HCP21_2_34121,2,135,-
HCP21_2_42723,15,113,-
HCP21_2_43223,3,113,-
HCP21_2_54723,2,219,-
HCP21_2_58609,3,92,+
HCP21_2_64609,2,139,+
HCP21_2_65109,7,144,-
HCP21_2_70252,3,104,-
HCP21_2_77252,35,145,+
HCP21_2_101078,1,138,+
HCP21_2_104578,69,200,+
HCP21_2_105578,92,238,-
HCP21_2_113177,2,135,-
HCP21_2_116677,1,177,+
HCP21_2_118677,21,209,+
HCP21_2_119177,4,177,+
HCP21_2_124925,14,118,+
HCP21_2_128925,3,149,+
HCP21_2_130925,1,174,+
HCP21_2_131425,35,160,-
HCP21_2_131925,2,187,+
HCP21_2_137604,24,116,-
HCP21_2_138604,3,101,-
HCP21_2_143604,1,156,+
HCP21_2_146604,1,190,+
HCP21_2_147604,2,204,-
HCP21_2_153457,2,108,-
HCP21_2_155957,5,121,-
HCP21_2_160957,2,177,-
HCP21_5006,2,769,+
HCP21_1943,2,457,+
HCP21_1088,3,353,-
HCP21_7859,156,515,+
HCP21_4959,3,578,+
HCP21_10901,76,522,+
HCP21_8968,3,446,+
HCP21_859_,1,360,+
HCP21_7772,105,568,+
HCP21_4124,3,344,+
HCP21_7767,44,352,+
HCP21_10481,20,274,-
HCP21_4831,3,203,+
HCP21_1892,3,194,+
HCP21_1892,198,359,+
HCP21_6601,3,356,-
HCP21_8492,2,340,+
HCP21_9004,38,307,-
HCP21_360_,40,318,-
HCP21_64__,133,4611,+
HCP21_448_,192,473,+
HCP21_4524,1,306,-
HCP21_4073,37,339,+
HCP21_1_1_newblercontig10566,3,199,-
HCP21_1_1_newblercontig12754,9,173,+
HCP21_2_11366,21,179,+
HCP21_2_25699,14,196,+
HCP21_2_30924,5,115,+
HCP21_2_34424,33,140,-
HCP21_2_35424,2,151,+
HCP21_2_37924,13,201,+
HCP21_2_62912,3,125,+
HCP21_2_68912,9,176,-
HCP21_2_78055,2,156,-
HCP21_2_80055,2,192,-
HCP21_2_83209,8,103,+
HCP21_2_84209,2,108,-
HCP21_2_85209,2,114,-
HCP21_2_89709,20,145,-
HCP21_2_99881,2,127,+
HCP21_2_100381,2,132,-
HCP21_2_100881,21,137,-
HCP21_2_102881,2,165,-
HCP21_2_114980,3,157,-
HCP21_2_125228,12,119,+
HCP21_2_129228,8,154,+
HCP21_2_131228,1,186,+
HCP21_2_131728,1,198,+
HCP21_2_132228,64,192,+
HCP21_2_137907,2,114,-
HCP21_2_139407,2,127,+
HCP21_2_140907,2,135,-
HCP21_2_141907,2,141,-
HCP21_2_144907,2,168,-
HCP21_2_145907,4,171,+
HCP21_2_146407,1,186,+
HCP21_2_153260,3,107,-
HCP21_2_158760,2,141,-
HCP21_2_159260,3,145,-
HCP21_2_160760,25,174,-
HCP21_5810,139,267,+
HCP21_2806,120,488,+
HCP21_9704,106,624,+
HCP21_8370,106,321,+
HCP21_9403,1,60,+
HCP21_4226,254,379,-
HCP21_4539,1,309,+
HCP21_4539,337,738,+
HCP21_8472,14,277,-
HCP21_8472,543,605,-
HCP21_4819,2,304,+
HCP21_7796,3,353,+
HCP21_8544,20,1099,-
HCP21_10855,244,615,+
HCP21_6417,592,777,+
HCP21_6913,27,383,-
HCP21_8499,1,441,+
HCP21_4523,42,266,-
HCP21_682_,2,1753,-
HCP21_682_,1758,1892,-
HCP21_6943,10,306,-
HCP21_3557,1,315,-
HCP21_1717,1,423,+
HCP21_3915,4,357,+
HCP21_1_1_newblercontig12223,106,180,+
HCP21_2_3384,2,111,-
HCP21_2_5384,2,120,-
HCP21_2_10884,3,173,-
HCP21_2_25217,3,184,-
HCP21_2_34942,1,144,+
HCP21_2_36442,3,140,+
HCP21_2_43044,8,115,-
HCP21_2_54044,2,208,+
HCP21_2_65930,9,146,-
HCP21_2_67430,3,185,+
HCP21_2_74073,2,120,-
HCP21_2_80573,1,205,-
HCP21_2_81073,3,215,+
HCP21_2_82227,2,102,-
HCP21_2_89227,3,140,-
HCP21_2_89727,3,146,+
HCP21_2_90227,3,140,-
HCP21_2_91227,8,163,+
HCP21_2_93227,80,226,+
HCP21_2_97399,2,102,-
HCP21_2_100399,3,134,+
HCP21_2_104899,64,192,+
HCP21_2_106998,14,103,-
HCP21_2_109498,13,114,-
HCP21_2_110998,2,120,-
HCP21_2_114998,3,137,-
HCP21_2_126746,2,127,+
HCP21_2_128746,1,144,+
HCP21_2_130746,1,177,+
HCP21_2_131246,1,186,+
HCP21_2_152278,13,102,+
HCP21_2_158278,1,138,+
HCP21_2_161278,3,187,-
HCP21_2_162778,73,237,+
HCP21_9973,3,347,+
HCP21_8912,1,528,-
HCP21_6225,50,424,-
HCP21_549_,28,312,+
HCP21_5061,43,609,-
HCP21_1883,1,321,+
HCP21_5___,67,1938,-
HCP21_9024,42,647,-
HCP21_2339,3,419,-
HCP21_8748,1,306,-
HCP21_1939,3,323,-
HCP21_10301,2,565,+
HCP21_1393,2,313,-
HCP21_442_,3,596,-
HCP21_1931,212,373,-
HCP21_10714,1,705,-
HCP21_10366,61,852,+
HCP21_322_,2,64,+
HCP21_2692,2,450,-
HCP21_5332,84,335,+
HCP21_2_84907,12,112,+
HCP21_9930,48,305,+
HCP21_9930,593,1027,+
HCP21_9930,1074,1331,+
HCP21_8867,2,202,+
HCP21_8867,338,781,+
HCP21_562_,225,302,+
HCP21_6127,3,370,+
HCP21_5863,3,128,+
HCP21_4691,9,305,-
HCP21_3292,2,580,-
HCP21_372_,2,301,+
HCP21_8422,14,340,-
HCP21_1324,3,338,-
HCP21_5384,254,1735,+
HCP21_700_,1,312,+
HCP21_968_,2,424,+
HCP21_1167,36,278,+
HCP21_8786,126,413,-
HCP21_7733,492,590,-
HCP21_3853,2,313,+
HCP21_10271,2,553,-
HCP21_6689,65,574,-
HCP21_7706,2,457,-
HCP21_7414,1,597,+
HCP21_7414,641,730,-
HCP21_1_1_newblercontig06773,3,242,-
HCP21_2_65,1,99,+
HCP21_2_5065,32,121,-
HCP21_2_7065,1,126,+
HCP21_2_7565,3,137,+
HCP21_2_8065,11,124,+
HCP21_2_20898,10,126,+
HCP21_2_22898,10,129,+
HCP21_2_23398,12,143,+
HCP21_2_24898,3,176,-
HCP21_2_25898,2,202,+
HCP21_2_44225,4,120,-
HCP21_2_50725,2,166,+
HCP21_2_55725,2,235,+
HCP21_2_67611,50,187,-
HCP21_2_76754,20,127,+
HCP21_2_87908,11,130,+
HCP21_2_88908,6,137,+
HCP21_2_90908,2,165,-
HCP21_2_98580,32,121,-
HCP21_2_110679,3,121,-
HCP21_2_119179,3,222,-
HCP21_2_125927,1,123,+
HCP21_2_127427,6,134,-
HCP21_2_127927,3,134,+
HCP21_2_130927,20,178,+
HCP21_2_131427,1,189,+
HCP21_2_136106,3,110,-
HCP21_2_147606,2,202,+
HCP21_2_149106,30,230,-
HCP21_2_156959,10,126,+
HCP21_2_161459,21,191,-
HCP21_2_162459,13,222,+
HCP21_8519,1,324,+
HCP21_10064,3,65,+
HCP21_10064,352,492,+
HCP21_2768,2,676,+
HCP21_8002,2,439,+
HCP21_1628,2,250,+
HCP21_1628,271,381,+
HCP21_1846,2,319,-
HCP21_4525,3,554,+
HCP21_6865,2,273,-
HCP21_10711,2,505,+
HCP21_8287,1,342,+
HCP21_3369,37,915,+
HCP21_675_,2,286,+
HCP21_675_,306,449,+
HCP21_10884,1,333,-
HCP21_5524,2,301,-
HCP21_8339,124,411,+
HCP21_10191,1,405,-
HCP21_5816,3,578,+
HCP21_4101,293,373,+
HCP21_8749,1,396,+
HCP21_3619,3,341,+
HCP21_2583,2,457,+
HCP21_4956,1,114,+
HCP21_4956,151,1431,+
HCP21_4956,1404,1796,+
HCP21_3941,1,1395,-
HCP21_8532,39,560,-
HCP21_9173,2,829,-
HCP21_6618,2,138,-
HCP21_6618,273,333,-
HCP21_3455,3,287,-
HCP21_1661,1,393,-
HCP21_9124,71,447,+
HCP21_8605,26,532,-
HCP21_5054,3,335,+
HCP21_6274,31,177,+
HCP21_6274,149,346,+
HCP21_7300,1,225,-
HCP21_7300,255,350,-
HCP21_6252,39,179,+
HCP21_6252,142,390,+
HCP21_6252,451,630,+
HCP21_4044,39,638,-
HCP21_9817,3,389,+
HCP21_5595,59,511,+
HCP21_6784,62,337,+
HCP21_9112,30,476,+
HCP21_10__,1,597,+
HCP21_10__,698,3046,-
HCP21_10__,3056,3973,-
HCP21_10__,4005,4706,-
HCP21_6296,125,898,+
HCP21_2_2567,2,108,-
HCP21_2_5067,1,120,+
HCP21_2_25400,2,187,+
HCP21_2_34125,21,137,-
HCP21_2_38125,3,206,+
HCP21_2_38625,11,214,+
HCP21_2_51227,2,172,+
HCP21_2_53727,3,203,+
HCP21_2_63113,1,128,+
HCP21_2_65613,2,153,-
HCP21_2_72756,4,114,-
HCP21_2_79256,3,176,-
HCP21_2_80256,1,195,+
HCP21_2_82910,14,103,+
HCP21_2_87410,17,127,+
HCP21_2_88410,26,127,+
HCP21_2_89410,3,143,+
HCP21_2_91910,4,183,+
HCP21_2_94582,2,100,-
HCP21_9722,2,523,-
HCP21_4924,23,301,-
HCP21_3930,3,719,+
HCP21_9575,26,376,-
HCP21_4832,1,396,+
HCP21_1957,2,298,-
HCP21_3041,2,982,-
HCP21_5986,139,690,+
HCP21_9879,3,536,-
HCP21_9773,90,533,+
HCP21_7614,2,76,+
HCP21_7614,154,387,+
HCP21_8807,3,335,+
HCP21_10382,66,329,+
HCP21_6771,3,311,-
HCP21_9190,2,115,+
HCP21_9190,134,286,+
HCP21_9190,318,404,-
HCP21_5201,196,432,+
HCP21_5201,446,517,+
HCP21_1007,3,179,+
HCP21_9130,2,310,-
HCP21_10840,1,537,-
HCP21_8211,3,161,+
HCP21_8211,199,540,+
HCP21_10331,11,478,-
HCP21_2_122430,7,107,+
HCP21_10923,2,553,+
HCP21_10923,621,806,+
HCP21_7049,2,1090,+
HCP21_7018,2,160,+
HCP21_3219,24,467,+
HCP21_9064,3,440,+
HCP21_554_,1,429,-
HCP21_7357,3,242,-
HCP21_7357,242,319,-
HCP21_8385,74,418,-
HCP21_8385,415,522,-
HCP21_5496,3,446,-
HCP21_10512,4,288,-
HCP21_10512,426,563,-
HCP21_10512,572,769,-
HCP21_10512,851,1063,-
HCP21_5342,1,123,-
HCP21_5342,277,591,-
HCP21_5342,654,833,-
HCP21_3541,1,504,-
HCP21_6705,2,82,+
HCP21_6705,229,405,-
HCP21_6893,1,417,+
HCP21_1103,71,247,+
HCP21_4455,3,374,+
HCP21_3896,1,444,+
HCP21_6866,1,321,+
HCP21_2169,1,111,-
HCP21_2169,266,370,+
HCP21_4762,1,579,-
HCP21_538_,2,211,-
HCP21_2_17902,2,111,-
HCP21_2_93412,1,233,+
HCP21_9401,48,653,-
HCP21_3808,9,383,-
HCP21_9526,2,115,+
HCP21_9049,2,571,-
HCP21_6011,3,350,-
HCP21_133_,2,349,+
HCP21_133_,378,596,-
HCP21_133_,1064,1492,+
HCP21_133_,1479,2018,+
HCP21_9606,31,393,-
HCP21_7351,2,1039,-
HCP21_8783,2,463,-
HCP21_8371,2,376,+
HCP21_5784,3,113,-
HCP21_5784,305,532,+
HCP21_4953,3,476,+
HCP21_382_,1,337,+
HCP21_7375,3,863,-
HCP21_10128,48,1490,-
HCP21_4131,183,662,+
HCP21_1443,1,60,-
HCP21_1443,76,339,+
HCP21_9444,196,384,+
HCP21_4211,1,291,-
HCP21_4211,396,1163,-
HCP21_4211,1222,1297,-
HCP21_4211,1559,2587,-
HCP21_4211,2635,2757,-
HCP21_5574,1,75,-
HCP21_5574,77,277,-
HCP21_5574,295,405,-
HCP21_10637,18,557,+
HCP21_1_1_newblercontig14545,2,114,-
HCP21_2_3570,3,113,+
HCP21_2_5070,11,115,+
HCP21_2_9570,6,143,-
HCP21_2_10570,28,171,-
HCP21_2_11070,3,176,-
HCP21_2_14070,3,239,+
HCP21_2_16903,2,106,+
HCP21_2_21403,2,130,+
HCP21_2_23403,28,150,-
HCP21_2_24403,5,166,-
HCP21_2_27628,24,101,-
HCP21_2_32628,3,122,-
HCP21_2_38128,4,195,+
HCP21_2_38628,1,225,+
HCP21_2_39230,10,99,-
HCP21_2_47730,2,139,+
HCP21_2_52230,2,153,-
HCP21_2_55230,2,228,-
HCP21_2_65616,2,151,+
HCP21_2_75759,3,131,-
HCP21_2_90913,3,161,+
HCP21_2_96085,1,105,+
HCP21_2_100085,3,131,+
HCP21_2_104085,7,189,-
HCP21_2_105585,3,182,+
HCP21_2_114684,1,153,+
HCP21_2_116684,2,180,-
HCP21_2_119684,106,201,-
HCP21_2_122432,5,106,+
HCP21_2_127432,10,135,+
HCP21_2_129432,2,156,-
HCP21_2_130932,28,159,+
HCP21_2_131932,56,202,+
HCP21_2_134611,1,105,+
HCP21_2_148611,89,220,-
HCP21_710_,1,312,-
HCP21_6458,3,80,+
HCP21_1102,1,285,+
HCP21_946_,107,238,+
HCP21_2515,24,344,+
HCP21_552_,22,348,+
HCP21_5137,1,318,-
HCP21_10254,2,457,+
HCP21_8567,24,473,-
HCP21_5853,58,183,-
HCP21_6044,1,840,+
HCP21_2846,3,428,-
HCP21_9409,18,269,+
HCP21_5440,1,708,-
HCP21_6357,73,630,+
HCP21_1377,148,408,+
HCP21_6141,121,531,-
HCP21_699_,3,341,-
HCP21_1315,3,80,-
HCP21_1315,90,356,-
HCP21_1081,3,62,+
HCP21_1081,154,330,+
HCP21_5897,32,853,-
HCP21_1_1_newblercontig09101,7,207,+
HCP21_2_2071,2,106,+
HCP21_2_3571,3,113,+
HCP21_2_9071,2,148,+
HCP21_2_11571,2,186,-
HCP21_2_20404,3,124,-
HCP21_2_21404,2,130,+
HCP21_2_31629,2,120,-
HCP21_2_32629,3,125,+
HCP21_2_34129,6,137,-
HCP21_2_40231,1,102,+
HCP21_2_43231,3,116,+
HCP21_2_45231,12,125,+
HCP21_2_47231,1,135,+
HCP21_2_47731,3,140,+
HCP21_2_53231,5,196,-
HCP21_2_59117,2,106,+
HCP21_2_65617,3,152,+
HCP21_2_67117,3,140,+
HCP21_2_68617,2,222,-
HCP21_2_73760,12,116,+
HCP21_2_77760,3,152,+
HCP21_2_81260,3,226,-
HCP21_2_83914,3,107,-
HCP21_2_90914,5,163,-
HCP21_2_92914,9,215,+
HCP21_2_97086,2,112,+
HCP21_2_99086,2,124,+
HCP21_2_105586,3,227,+
HCP21_2_111185,2,124,+
HCP21_2_113185,1,138,+
HCP21_2_113685,1,132,+
HCP21_2_121433,3,103,-
HCP21_2_125433,2,121,+
HCP21_2_130433,73,171,-
HCP21_2_132433,3,218,+
HCP21_2_136612,2,90,-
HCP21_2_137112,4,90,-
HCP21_2_139112,2,124,+
HCP21_2_143112,2,151,+
HCP21_2_145112,34,168,-
HCP21_2_148112,11,211,+
HCP21_2_158465,3,140,-
HCP21_2_158965,7,144,-
HCP21_2_162465,7,213,-
HCP21_2814,3,545,+
HCP21_9097,3,521,-
HCP21_2269,3,419,+
HCP21_8828,2,1285,-
HCP21_8161,53,382,+
HCP21_5017,1,594,+
HCP21_5017,659,820,+
HCP21_5894,174,353,-
HCP21_8380,1,72,+
HCP21_10603,3,272,+
HCP21_10603,313,648,+
HCP21_9031,47,391,-
HCP21_6090,309,506,-
HCP21_8028,2,301,+
HCP21_4208,2,448,+
HCP21_10180,1,150,-
HCP21_4186,2,487,-
HCP21_4186,487,594,-
HCP21_4268,3,197,-
HCP21_8709,2,892,+
HCP21_8709,870,992,+
HCP21_4441,4,879,-
HCP21_5195,2,292,+
HCP21_8545,86,1030,+
HCP21_7666,2,393,-
HCP21_8664,13,450,+
HCP21_8664,473,1402,+
HCP21_7603,103,1014,-
HCP21_2307,66,263,+
HCP21_2307,263,367,+
HCP21_10935,1,276,+
HCP21_7230,3,131,+
HCP21_7230,319,432,-
HCP21_7230,507,626,-
HCP21_237_,1,66,+
HCP21_2605,3,179,+
HCP21_2605,216,686,+
HCP21_10031,985,1110,+
HCP21_1160,2,319,-
HCP21_160_,3,350,-
HCP21_160_,699,1742,-
HCP21_160_,1760,2545,-
HCP21_160_,2564,3715,-
HCP21_160_,3788,4669,-
HCP21_160_,4858,5634,-
HCP21_160_,5635,5823,+
HCP21_160_,5889,6239,+
HCP21_6794,1,657,-
HCP21_9356,11,313,-
HCP21_9149,9,263,-
HCP21_7019,3,524,+
HCP21_5248,3,320,-
HCP21_5642,2,370,-
HCP21_296_,62,316,+
HCP21_7175,3,287,+
HCP21_1186,2,259,-
HCP21_960_,3,392,-
HCP21_10753,209,394,+
HCP21_4769,3,326,+
HCP21_4711,1,96,+
HCP21_2_14073,3,229,-
HCP21_2_84416,7,110,+
HCP21_2_123435,1,101,-
HCP21_3957,2,799,-
HCP21_3957,1002,1250,+
HCP21_7439,1,525,+
HCP21_2044,1,507,+
HCP21_5208,2,496,+
HCP21_2123,1,567,+
HCP21_9673,3,554,-
HCP21_8246,48,926,-
HCP21_1759,107,529,-
HCP21_10514,13,552,-
HCP21_7944,3,860,+
HCP21_3781,2,127,-
HCP21_6450,1,471,+
HCP21_9424,3,500,-
HCP21_1993,2,310,-
HCP21_9478,3,425,-
HCP21_9981,2,679,-
HCP21_353_,3,785,-
HCP21_1733,38,325,-
HCP21_2839,27,503,+
HCP21_4349,3,1382,-
HCP21_4516,2,561,-
HCP21_7087,3,772,-
HCP21_2706,1,354,+
HCP21_1361,80,463,+
HCP21_10029,1,999,-
HCP21_56__,3,98,+
HCP21_56__,95,2329,+
HCP21_4006,2,769,+
HCP21_10021,113,409,+
HCP21_98__,2,2020,+
HCP21_98__,2105,3964,+
HCP21_4202,62,316,+
HCP21_3335,28,453,+
HCP21_3638,23,706,-
HCP21_3863,1,330,-
HCP21_10679,183,365,+
HCP21_8227,1,309,-
HCP21_265_,3,335,+
HCP21_4663,73,282,+
HCP21_4663,279,974,+
HCP21_4663,955,1545,+
HCP21_8456,324,464,-
HCP21_818_,81,629,-
HCP21_6983,3,167,-
HCP21_7340,2,79,+
HCP21_7340,146,856,+
HCP21_521_,41,589,+
HCP21_521_,600,1598,+
HCP21_2_2074,2,106,+
HCP21_2_7574,1,138,+
HCP21_2_20407,2,124,+
HCP21_2_26907,47,232,+
HCP21_2_32132,3,122,+
HCP21_2_35132,1,148,+
HCP21_2_38132,2,208,+
HCP21_2_39234,2,100,+
HCP21_2_51734,35,175,-
HCP21_2_52234,2,183,-
HCP21_2_75763,6,125,-
HCP21_2_82917,3,104,-
HCP21_2_84417,3,106,-
HCP21_2_91917,46,180,-
HCP21_2_102089,2,151,+
HCP21_2_103589,2,177,-
HCP21_2_104589,2,166,+
HCP21_2_113188,2,136,+
HCP21_2_124936,6,119,+
HCP21_2_127436,2,135,-
HCP21_2_132436,77,219,-
HCP21_2_135115,3,107,-
HCP21_2_145615,3,176,+
HCP21_2_147115,1,195,+
HCP21_2_158468,2,141,-
HCP21_2_161968,3,203,+
HCP21_5105,3,434,+
HCP21_7039,3,458,-
HCP21_1478,134,253,+
HCP21_7020,2,382,-
HCP21_2371,3,347,+
HCP21_10776,3,470,+
HCP21_3766,1,1122,-
HCP21_9453,3,461,+
HCP21_7177,2,373,+
HCP21_3477,2,496,-
HCP21_67__,3,176,-
HCP21_67__,313,972,-
HCP21_67__,1062,1964,-
HCP21_10656,1,630,-
HCP21_139_,2,1027,+
HCP21_139_,1031,2620,+
HCP21_139_,3508,3999,-
HCP21_139_,4351,4812,+
HCP21_139_,5079,6020,+
HCP21_139_,6270,7832,+
HCP21_139_,8012,8494,-
HCP21_139_,8579,8896,-
HCP21_139_,9092,9595,-
HCP21_139_,9501,9989,+
HCP21_139_,10000,11439,+
HCP21_139_,11436,11678,+
HCP21_139_,11959,12537,-
HCP21_139_,12674,12826,+
HCP21_139_,12942,13907,+
HCP21_9353,2,76,-
HCP21_9353,79,519,-
HCP21_3243,27,314,+
HCP21_8852,1,333,+
HCP21_185_,1,273,+
HCP21_185_,411,1718,+
HCP21_185_,1813,2133,+
HCP21_185_,2236,2415,+
HCP21_185_,2418,2864,+
HCP21_185_,2913,3509,-
HCP21_7220,2,508,-
HCP21_8263,69,365,+
HCP21_4599,2,304,-
HCP21_6353,3,86,+
HCP21_6353,114,206,-
HCP21_6353,233,322,-
HCP21_6353,391,459,-
HCP21_2_118189,3,196,-
HCP21_112_,3,5669,+
HCP21_6609,2,208,+
HCP21_6609,221,433,+
HCP21_6481,93,317,+
HCP21_3864,249,569,-
HCP21_2519,2,259,-
HCP21_10171,26,427,-
HCP21_9105,3,284,-
HCP21_869_,3,439,-
HCP21_2901,24,1040,+
HCP21_459_,2,403,-
HCP21_10750,1,270,-
HCP21_2081,1,321,+
HCP21_9748,3,308,-
HCP21_5567,2,211,+
HCP21_5567,364,585,+
HCP21_8408,103,432,-
HCP21_171_,3,107,+
HCP21_171_,182,847,+
HCP21_171_,840,1886,+
HCP21_5547,3,461,-
HCP21_2240,2,421,-
HCP21_9660,83,730,+
HCP21_9911,3,1295,-
HCP21_9911,1267,1380,-
HCP21_5445,89,382,+
HCP21_9976,3,350,-
HCP21_2_68122,1,204,+
HCP21_2_69765,21,98,-
HCP21_2_73765,1,117,+
HCP21_2_79265,3,175,-
HCP21_2_89919,6,149,-
HCP21_2_90919,1,165,+
HCP21_2_92919,2,213,-
HCP21_2_136617,15,100,-
HCP21_5935,3,143,+
HCP21_5973,40,558,-
HCP21_5973,608,1243,+
HCP21_439_,2,346,+
HCP21_6737,3,455,-
HCP21_6958,2,451,-
HCP21_6958,498,1514,-
HCP21_3977,100,330,-
HCP21_74__,1,1317,+
HCP21_74__,1776,2222,+
HCP21_5513,168,521,-
HCP21_1278,67,396,+
HCP21_3636,2,739,-
HCP21_3636,913,1317,-
HCP21_606_,3,110,+
HCP21_606_,170,310,+
HCP21_3008,2,334,+
HCP21_9830,3,341,-
HCP21_7702,28,513,+
HCP21_7696,2,556,+
HCP21_5122,63,353,-
HCP21_5241,4,288,+
HCP21_9761,3,1181,+
HCP21_3810,43,984,-
HCP21_3810,1103,1507,-
HCP21_4111,76,480,+
HCP21_1912,2,187,+
HCP21_1912,306,452,+
HCP21_1_1_newblercontig06196,2,247,+
HCP21_1_1_newblercontig14552,2,147,-
HCP21_2_6577,7,126,+
HCP21_2_7077,3,133,-
HCP21_2_11077,10,177,+
HCP21_2_13577,28,225,-
HCP21_2_23410,2,151,+
HCP21_2_25410,29,163,-
HCP21_2_26910,13,237,+
HCP21_2_33635,7,114,+
HCP21_2_43237,3,115,-
HCP21_2_48237,15,125,-
HCP21_2_54237,11,211,-
HCP21_2_57623,26,97,-
HCP21_2_62623,4,123,+
HCP21_2_63123,2,126,-
HCP21_2_70266,7,102,+
HCP21_2_73766,3,119,-
HCP21_2_77266,16,147,+
HCP21_2_79766,2,186,-
HCP21_2_90420,3,157,-
HCP21_2_91920,3,185,-
HCP21_2_93420,3,233,+
HCP21_2_96592,1,111,+
HCP21_2_113191,2,133,+
HCP21_2_114191,4,147,-
HCP21_2_119691,11,247,+
HCP21_2_120939,5,100,-
HCP21_2_123939,3,113,+
HCP21_2_129439,2,156,-
HCP21_2_130939,6,170,+
HCP21_2_134618,3,103,-
HCP21_2_145118,3,170,-
HCP21_2_148618,2,220,+
HCP21_2_149118,1,218,+
HCP21_2_149618,1,243,+
HCP21_2_154971,5,115,+
HCP21_2_158971,3,146,+
HCP21_2_161971,12,206,+
HCP21_9423,189,389,+
HCP21_7826,2,685,+
HCP21_2541,43,425,+
HCP21_2541,612,755,+
HCP21_5079,1,462,+
HCP21_2610,1,591,+
HCP21_4282,1,321,+
HCP21_5676,3,551,+
HCP21_5035,1,144,-
HCP21_5035,144,374,-
HCP21_7459,3,353,-
HCP21_8816,62,418,+
HCP21_8816,402,464,+
HCP21_3133,94,507,+
HCP21_3133,495,890,+
HCP21_10775,71,286,-
HCP21_10159,6,182,+
HCP21_10159,214,312,+
HCP21_7633,2,493,+
HCP21_7633,583,912,+
HCP21_10398,1,264,-
HCP21_10202,86,310,+
HCP21_9741,2,499,+
HCP21_7682,1,303,-
HCP21_4903,2,256,+
HCP21_2164,2,328,+
HCP21_1_1_newblercontig09110,40,211,+
HCP21_1_1_newblercontig10246,2,180,-
HCP21_1_1_newblercontig15075,5,133,-
HCP21_1_1_newblercontig16168,10,114,+
HCP21_2_6078,3,127,-
HCP21_2_9078,3,151,-
HCP21_2_10578,3,170,-
HCP21_2_22411,3,137,-
HCP21_2_25411,2,189,-
HCP21_2_32636,2,124,+
HCP21_2_34636,72,143,+
HCP21_2_36136,3,160,-
HCP21_2_38136,3,202,-
HCP21_2_45238,2,126,-
HCP21_2_49738,2,157,+
HCP21_2_50238,3,161,-
HCP21_2_52238,1,183,+
HCP21_2_53738,4,204,-
HCP21_2_55738,1,240,+
HCP21_2_66624,3,140,+
HCP21_2_75267,2,126,-
HCP21_2_79767,17,184,-
HCP21_2_83421,2,106,+
HCP21_2_85921,6,116,-
HCP21_2_87921,1,126,+
HCP21_2_102093,2,151,+
HCP21_2_105593,44,239,+
HCP21_2_117192,2,189,-
HCP21_2_118192,3,205,-
HCP21_2_123940,3,113,+
HCP21_2_125440,18,119,+
HCP21_2_126940,2,115,+
HCP21_2_128940,1,147,+
HCP21_2_129440,3,157,-
HCP21_2_131940,3,203,+
HCP21_2_132940,1,237,-
HCP21_2_137619,2,115,+
HCP21_2_142119,2,144,-
HCP21_2_148619,60,221,+
HCP21_2_149619,2,243,-
HCP21_2_152472,5,103,-
HCP21_2_155972,2,78,-
HCP21_2_157972,2,135,-
HCP21_2_158472,3,140,-
HCP21_2_160972,2,180,-
HCP21_588_,1,381,-
HCP21_588_,390,590,-
HCP21_9200,2,343,+
HCP21_5846,2,307,+
HCP21_10302,2,337,+
HCP21_9586,2,469,-
HCP21_6623,3,317,+
HCP21_299_,3,116,+
HCP21_299_,217,330,-
HCP21_5886,2,484,-
HCP21_2434,331,1089,-
HCP21_2434,1093,1680,-
HCP21_2434,2129,2371,-
HCP21_2434,2509,3087,-
HCP21_9054,33,644,+
HCP21_7394,1,387,+
HCP21_8462,3,320,+
HCP21_7958,3,110,-
HCP21_6805,1,378,-
HCP21_9893,1,705,-
HCP21_5435,33,416,+
HCP21_8433,3,491,-
HCP21_4222,1,234,-
HCP21_4222,390,503,-
HCP21_10410,1,720,-
HCP21_4099,80,379,-
HCP21_786_,2,373,+
HCP21_1_1_newblercontig11891,1,186,-
HCP21_2_132941,2,228,-
HCP21_1684,3,338,-
HCP21_8546,49,468,+
HCP21_2607,41,193,+
HCP21_3773,55,363,-
HCP21_7567,3,494,+
HCP21_2024,1,213,-
HCP21_2024,285,350,-
HCP21_4114,40,525,+
HCP21_1381,3,323,-
HCP21_10321,1,645,-
HCP21_1855,2,370,-
HCP21_7725,55,258,+
HCP21_7725,255,314,+
HCP21_4948,90,542,+
HCP21_7102,39,920,-
HCP21_5449,1,660,+
